"Plot Title: 11009652"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009652, SEN S/N: 11009652, LBL: DO)","Temp, °F (LGR S/N: 11009652, SEN S/N: 11009652, LBL: Temp)","Coupler Attached (LGR S/N: 11009652)","Host Connected (LGR S/N: 11009652)","Stopped (LGR S/N: 11009652)","End Of File (LGR S/N: 11009652)"
167,12/04/18 11:00:00 AM,3.56,38.52,,,,
168,12/04/18 11:30:00 AM,3.39,38.52,,,,
169,12/04/18 12:00:00 PM,3.42,38.55,,,,
170,12/04/18 12:30:00 PM,3.52,38.52,,,,
171,12/04/18 01:00:00 PM,3.44,38.52,,,,
172,12/04/18 01:30:00 PM,3.37,38.55,,,,
173,12/04/18 02:00:00 PM,3.18,38.55,,,,
174,12/04/18 02:30:00 PM,3.16,38.48,,,,
175,12/04/18 03:00:00 PM,3.06,38.48,,,,
176,12/04/18 03:30:00 PM,3.81,38.48,,,,
177,12/04/18 04:00:00 PM,4.09,38.48,,,,
178,12/04/18 04:30:00 PM,3.79,38.48,,,,
179,12/04/18 05:00:00 PM,3.81,38.48,,,,
180,12/04/18 05:30:00 PM,3.90,38.48,,,,
181,12/04/18 06:00:00 PM,3.63,38.52,,,,
182,12/04/18 06:30:00 PM,3.09,38.52,,,,
183,12/04/18 07:00:00 PM,3.39,38.44,,,,
184,12/04/18 07:30:00 PM,2.56,38.34,,,,
185,12/04/18 08:00:00 PM,3.90,38.34,,,,
186,12/04/18 08:30:00 PM,4.30,38.34,,,,
187,12/04/18 09:00:00 PM,3.42,38.34,,,,
188,12/04/18 09:30:00 PM,3.27,38.34,,,,
189,12/04/18 10:00:00 PM,2.99,38.37,,,,
190,12/04/18 10:30:00 PM,2.71,38.41,,,,
191,12/04/18 11:00:00 PM,2.71,38.41,,,,
192,12/04/18 11:30:00 PM,2.55,38.41,,,,
193,12/05/18 12:00:00 AM,3.03,38.41,,,,
194,12/05/18 12:30:00 AM,2.99,38.44,,,,
195,12/05/18 01:00:00 AM,2.91,38.44,,,,
196,12/05/18 01:30:00 AM,2.63,38.41,,,,
197,12/05/18 02:00:00 AM,3.33,38.55,,,,
198,12/05/18 02:30:00 AM,3.28,38.55,,,,
199,12/05/18 03:00:00 AM,2.65,38.52,,,,
200,12/05/18 03:30:00 AM,2.59,38.55,,,,
201,12/05/18 04:00:00 AM,2.62,38.55,,,,
202,12/05/18 04:30:00 AM,2.69,38.52,,,,
203,12/05/18 05:00:00 AM,2.84,38.52,,,,
204,12/05/18 05:30:00 AM,3.19,38.55,,,,
205,12/05/18 06:00:00 AM,2.91,38.48,,,,
206,12/05/18 06:30:00 AM,3.36,38.52,,,,
207,12/05/18 07:00:00 AM,4.24,38.52,,,,
208,12/05/18 07:30:00 AM,4.25,38.52,,,,
209,12/05/18 08:00:00 AM,5.05,38.52,,,,
210,12/05/18 08:30:00 AM,5.69,38.52,,,,
211,12/05/18 09:00:00 AM,6.22,38.08,,,,
212,12/05/18 09:30:00 AM,5.83,38.30,,,,
213,12/05/18 10:00:00 AM,5.50,38.30,,,,
214,12/05/18 10:30:00 AM,4.71,38.30,,,,
215,12/05/18 11:00:00 AM,4.78,38.19,,,,
216,12/05/18 11:30:00 AM,5.30,38.16,,,,
217,12/05/18 12:00:00 PM,5.79,38.16,,,,
218,12/05/18 12:30:00 PM,5.31,38.16,,,,
219,12/05/18 01:00:00 PM,5.79,38.16,,,,
220,12/05/18 01:30:00 PM,4.59,38.08,,,,
221,12/05/18 02:00:00 PM,4.40,38.05,,,,
222,12/05/18 02:30:00 PM,4.07,38.12,,,,
223,12/05/18 03:00:00 PM,4.18,38.12,,,,
224,12/05/18 03:30:00 PM,3.89,37.98,,,,
225,12/05/18 04:00:00 PM,3.98,37.98,,,,
226,12/05/18 04:30:00 PM,6.59,37.87,,,,
227,12/05/18 05:00:00 PM,6.69,37.90,,,,
228,12/05/18 05:30:00 PM,6.60,37.83,,,,
229,12/05/18 06:00:00 PM,6.00,37.72,,,,
230,12/05/18 06:30:00 PM,4.94,37.69,,,,
231,12/05/18 07:00:00 PM,4.65,37.72,,,,
232,12/05/18 07:30:00 PM,4.35,37.76,,,,
233,12/05/18 08:00:00 PM,4.04,37.80,,,,
234,12/05/18 08:30:00 PM,3.88,37.72,,,,
235,12/05/18 09:00:00 PM,4.13,37.72,,,,
236,12/05/18 09:30:00 PM,4.16,37.72,,,,
237,12/05/18 10:00:00 PM,4.01,37.69,,,,
238,12/05/18 10:30:00 PM,3.66,37.69,,,,
