Plot Title: 11009654,,,,,,,
#,"Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009654, SEN S/N: 11009654, LBL: DO)","Temp, °F (LGR S/N: 11009654, SEN S/N: 11009654, LBL: Temp)",Coupler Attached (LGR S/N: 11009654),Host Connected (LGR S/N: 11009654),Stopped (LGR S/N: 11009654),End Of File (LGR S/N: 11009654)
159,12/5/2019 22:00,14.28,36.72,2.622222222,,,
160,12/5/2019 22:30,14.27,36.75,2.638888889,,,
161,12/5/2019 23:00,14.26,36.79,2.661111111,,,
162,12/5/2019 23:30,14.28,36.79,2.661111111,,,
163,12/6/2019 0:00,14.3,36.86,2.7,,,
164,12/6/2019 0:30,14.31,36.93,2.738888889,,,
165,12/6/2019 1:00,14.33,36.93,2.738888889,,,
166,12/6/2019 1:30,14.24,37,2.777777778,,,
167,12/6/2019 2:00,14.21,37.11,2.838888889,,,
168,12/6/2019 2:30,14.19,37.15,2.861111111,,,
169,12/6/2019 3:00,14.17,37.15,2.861111111,,,
170,12/6/2019 3:30,14.17,37.22,2.9,,,
171,12/6/2019 4:00,14.12,37.26,2.922222222,,,
172,12/6/2019 4:30,14.19,37.26,2.922222222,,,
173,12/6/2019 5:00,14.34,37.26,2.922222222,,,
174,12/6/2019 5:30,14.37,37.29,2.938888889,,,
175,12/6/2019 6:00,14.28,37.26,2.922222222,,,
176,12/6/2019 6:30,14.58,37.26,2.922222222,,,
177,12/6/2019 7:00,14.47,37.33,2.961111111,,,
178,12/6/2019 7:30,14.11,37.36,2.977777778,,,
179,12/6/2019 8:00,13.82,37.4,3,,,
180,12/6/2019 8:30,13.84,37.4,3,,,
181,12/6/2019 9:00,13.78,37.4,3,,,
182,12/6/2019 9:30,13.81,37.44,3.022222222,,,
183,12/6/2019 10:00,13.8,37.44,3.022222222,,,
184,12/6/2019 10:30,13.77,37.44,3.022222222,,,
185,12/6/2019 11:00,13.91,37.44,3.022222222,,,
186,12/6/2019 11:30,14.09,37.44,3.022222222,,,
187,12/6/2019 12:00,14.11,37.44,3.022222222,,,
188,12/6/2019 12:30,14.19,37.44,3.022222222,,,
189,12/6/2019 13:00,14.23,37.47,3.038888889,,,
190,12/6/2019 13:30,14.34,37.44,3.022222222,,,
191,12/6/2019 14:00,14.46,37.44,3.022222222,,,
192,12/6/2019 14:30,14.6,37.44,3.022222222,,,
193,12/6/2019 15:00,14.78,37.4,3,,,
194,12/6/2019 15:30,14.92,37.36,2.977777778,,,
195,12/6/2019 16:00,15.21,37.36,2.977777778,,,
196,12/6/2019 16:30,15.26,37.36,2.977777778,,,
197,12/6/2019 17:00,15.3,37.36,2.977777778,,,
198,12/6/2019 17:30,15.27,37.36,2.977777778,,,
199,12/6/2019 18:00,15.21,37.33,2.961111111,,,
200,12/6/2019 18:30,15.25,37.36,2.977777778,,,
201,12/6/2019 19:00,15.26,37.4,3,,,
202,12/6/2019 19:30,15.23,37.4,3,,,
203,12/6/2019 20:00,15.19,37.4,3,,,
204,12/6/2019 20:30,15.05,37.36,2.977777778,,,
205,12/6/2019 21:00,15.02,37.4,3,,,
206,12/6/2019 21:30,14.99,37.4,3,,,
207,12/6/2019 22:00,15.01,37.4,3,,,
208,12/6/2019 22:30,15.02,37.44,3.022222222,,,
209,12/6/2019 23:00,15,37.44,3.022222222,,,
210,12/6/2019 23:30,14.93,37.47,3.038888889,,,
211,12/7/2019 0:00,14.9,37.47,3.038888889,,,
212,12/7/2019 0:30,14.89,37.47,3.038888889,,,
213,12/7/2019 1:00,14.92,37.47,3.038888889,,,
214,12/7/2019 1:30,14.88,37.47,3.038888889,,,
215,12/7/2019 2:00,14.83,37.47,3.038888889,,,
216,12/7/2019 2:30,14.75,37.4,3,,,
217,12/7/2019 3:00,14.7,37.36,2.977777778,,,
218,12/7/2019 3:30,14.66,37.4,3,,,
219,12/7/2019 4:00,14.63,37.36,2.977777778,,,
220,12/7/2019 4:30,14.61,37.33,2.961111111,,,
221,12/7/2019 5:00,14.61,37.33,2.961111111,,,
222,12/7/2019 5:30,14.63,37.33,2.961111111,,,
223,12/7/2019 6:00,14.63,37.33,2.961111111,,,
224,12/7/2019 6:30,14.65,37.26,2.922222222,,,
225,12/7/2019 7:00,14.68,37.22,2.9,,,
226,12/7/2019 7:30,14.64,37.18,2.877777778,,,
227,12/7/2019 8:00,14.58,37.22,2.9,,,
228,12/7/2019 8:30,14.62,37.08,2.822222222,,,
229,12/7/2019 9:00,14.64,37.08,2.822222222,,,
230,12/7/2019 9:30,14.59,37,2.777777778,,,
231,12/7/2019 10:00,14.64,37.08,2.822222222,,,
232,12/7/2019 10:30,14.62,37.04,2.8,,,
233,12/7/2019 11:00,14.65,36.97,2.761111111,,,
234,12/7/2019 11:30,14.71,37,2.777777778,,,
235,12/7/2019 12:00,14.8,37,2.777777778,,,
236,12/7/2019 12:30,14.83,37,2.777777778,,,
237,12/7/2019 13:00,14.9,37.08,2.822222222,,,
238,12/7/2019 13:30,14.94,36.93,2.738888889,,,
239,12/7/2019 14:00,15.05,36.9,2.722222222,,,
240,12/7/2019 14:30,15.04,36.97,2.761111111,,,
241,12/7/2019 15:00,15.07,36.82,2.677777778,,,
242,12/7/2019 15:30,15.09,36.79,2.661111111,,,
243,12/7/2019 16:00,15.08,36.82,2.677777778,,,
244,12/7/2019 16:30,15.02,36.86,2.7,,,
245,12/7/2019 17:00,15.02,36.93,2.738888889,,,
246,12/7/2019 17:30,15.09,36.97,2.761111111,,,
247,12/7/2019 18:00,15.15,36.97,2.761111111,,,
248,12/7/2019 18:30,15.11,36.97,2.761111111,,,
249,12/7/2019 19:00,15.11,36.93,2.738888889,,,
250,12/7/2019 19:30,15.13,36.9,2.722222222,,,
251,12/7/2019 20:00,15.12,36.82,2.677777778,,,
252,12/7/2019 20:30,15,36.86,2.7,,,
253,12/7/2019 21:00,15.1,36.82,2.677777778,,,
254,12/7/2019 21:30,15.2,36.72,2.622222222,,,
255,12/7/2019 22:00,14.85,36.9,2.722222222,,,
256,12/7/2019 22:30,14.77,37.04,2.8,,,
257,12/7/2019 23:00,14.84,37.04,2.8,,,
258,12/7/2019 23:30,14.89,37.04,2.8,,,
259,12/8/2019 0:00,14.93,37.04,2.8,,,
260,12/8/2019 0:30,14.87,37.04,2.8,,,
261,12/8/2019 1:00,14.78,37,2.777777778,,,
262,12/8/2019 1:30,14.72,36.97,2.761111111,,,
263,12/8/2019 2:00,14.76,36.93,2.738888889,,,
264,12/8/2019 2:30,14.75,36.9,2.722222222,,,
265,12/8/2019 3:00,14.74,36.86,2.7,,,
266,12/8/2019 3:30,14.52,36.86,2.7,,,
267,12/8/2019 4:00,14.53,36.86,2.7,,,
268,12/8/2019 4:30,14.55,36.82,2.677777778,,,
269,12/8/2019 5:00,14.41,36.82,2.677777778,,,
270,12/8/2019 5:30,14.34,36.72,2.622222222,,,
271,12/8/2019 6:00,14.38,36.75,2.638888889,,,
272,12/8/2019 6:30,14.49,36.79,2.661111111,,,
273,12/8/2019 7:00,14.36,36.82,2.677777778,,,
274,12/8/2019 7:30,14.33,36.79,2.661111111,,,
275,12/8/2019 8:00,14.38,36.82,2.677777778,,,
276,12/8/2019 8:30,14.32,36.82,2.677777778,,,
277,12/8/2019 9:00,14.22,36.79,2.661111111,,,
278,12/8/2019 9:30,14.21,36.75,2.638888889,,,
279,12/8/2019 10:00,14.31,36.82,2.677777778,,,
280,12/8/2019 10:30,14.32,36.86,2.7,,,
281,12/8/2019 11:00,14.36,36.97,2.761111111,,,
