Location,DATE,TIME,NROWS,SheetBar,Zmax,Zmax QF,Secchi,Secchi QF,Wave Code,Zice,Zice QF,ZSice,ZSice QF,PctIce,PctIce QF,Zsnow,Zsnow QF,PctSnow,PctSnow QF,Veg Cover,DuckWeed Cover,Fil.Algae Covr,Veg Density,Veg Type,Site Comment,Row #,Z,  QF ,Temp,  QF _1,D.O.,  QF _2,pH,  QF _3,Cond,  QF _4,Turb,  QF _5,Raw NTU,  QF _6,Vel,  QF _7,Dir,  QF _8,Smpl. Barcode,DIN,MET,SRP,SS,CHS,CHF,PHY,TNP
PL01.0P,7/22/2019,8:33,2,40015682,2.5,,121,,,,,,,,,,,,,,,,,,No veg around probe.,11,0.2,,25.2,,5.9,,7.9,,570,,5,,5,,0.02,,70,,,,,,,,,,
PL01.0P,7/22/2019,8:33,2,40015682,2.5,,121,,,,,,,,,,,,,,,,,,No veg around probe.,22,2.3,,21.7,,2.2,,7.5,,492,,,,,,,,,,,,,,,,,,
PL01.0P,8/8/2019,9:41,2,40015683,2.33,,208,,,,,,,,,,,,,,,,,,No veg around probe.,11,0.2,,25.2,,6.2,,8.1,,576,,2,,2,,0.01,,70,X,,,,,,,,,
PL01.0P,8/8/2019,9:41,2,40015683,2.33,,208,,,,,,,,,,,,,,,,,,No veg around probe.,22,2.31,,23.2,,5.4,,8,,581,,,,,,,X,,X,,,,,,,,,
PL01.0P,8/21/2019,9:58,2,40015685,1.94,,155,,,,,,,,,,,,,,,,,,No veg around probe.,11,0.2,,23.4,,9.4,,8.4,,545,,,,,,0.02,,330,,,,,,,,,,
PL01.0P,8/21/2019,9:58,2,40015685,1.94,,155,,,,,,,,,,,,,,,,,,No veg around probe.,22,1.74,,22,,5.8,,7.9,,527,,,,,,,,,,,,,,,,,,
PL01.0P,9/16/2019,14:19,2,40015687,2.29,,168,,,,,,,,,,,,,,,,,,No veg around bouy.,11,0.2,,22.8,,11.2,,8.5,,516,,,,,,0.02,,320,,,,,,,,,,
PL01.0P,9/16/2019,14:19,2,40015687,2.29,,168,,,,,,,,,,,,,,,,,,No veg around bouy.,22,2.09,,19.1,,6.2,,7.8,,501,,,,,,,,,,,,,,,,,,
PL01.0P,10/10/2019,0:00,1,40015690,,,62,,,,,,,,,,,,,,,,,,Limited information available at this site for some reason.,11,,,,,,,,,,,11,,11,,,,,,,,,,,,,,
PL01.0P,12/2/2019,14:21,2,40015691,2.2,,100,,,10,,10,,100,,,5,0,,,,,,,,11,0.2,,1.8,,12.8,,8,,566,,6,,6,,0.01,,350,X,,,,,,,,,
PL01.0P,12/2/2019,14:21,2,40015691,2.2,,100,,,10,,10,,100,,,5,0,,,,,,,,22,2,,2.4,,12.1,,7.9,,567,,,,,,,,,,,,,,,,,,
PL01.0P,1/10/2020,13:24,2,40015696,2.35,,92,,,24,,24,,100,,,5,0,,,,,,,,11,0.2,,0.2,,13.6,,7.9,,553,,,,,,0.02,,70,,,,,,,,,,
PL01.0P,1/10/2020,13:24,2,40015696,2.35,,92,,,24,,24,,100,,,5,0,,,,,,,,22,2.15,,0.2,,13.5,,7.9,,555,,,,,,,,,,,,,,,,,,
PL01.0P,2/4/2020,15:30,2,40015699,2.28,,108,,,40,,40,,100,,3,,100,,,,,,,,11,0.2,,0.4,,12.2,,7.7,,498,,,,,,0.02,,70,,,,,,,,,,
PL01.0P,2/4/2020,15:30,2,40015699,2.28,,108,,,40,,40,,100,,3,,100,,,,,,,,22,2.08,,1.6,,9,,7.6,,497,,,,,,,,,,,,,,,,,,
PL01.0P,3/4/2020,13:24,2,40015702,2.14,,189,,,26,,26,,100,,1,,10,,,,,,,,11,0.2,,1.1,,13.1,,7.8,,499,,4,,4,,0.01,,60,X,,,,,,,,,
PL01.0P,3/4/2020,13:24,2,40015702,2.14,,189,,,26,,26,,100,,1,,10,,,,,,,,22,1.94,,3.1,,6.5,,7.4,,494,,,,,,,X,,X,,,,,,,,,
PL01.0P,6/15/2020,11:19:00 AM,2,40015964,2.1,,149,,,,,,,,,,,,,,,,,,,11,0.2,,20.8,,10.1,,8.7,,450,,,,,,0,,,X,,,,,,,,,
PL01.0P,6/15/2020,11:19:00 AM,2,40015964,2.1,,149,,,,,,,,,,,,,,,,,,,22,1.9,,20.8,,10,,8.7,,451,,,,,,,,,,,,,,,,,,
PL01.0P,7/1/2020,3:15:00 PM,2,40015966,2.48,,187,,,,,,,,,,,,,,,,,,,11,0.2,,28,,13.8,,8.8,,482,,1,,1,,0.02,,70,,,,,,,,,,
PL01.0P,7/1/2020,3:15:00 PM,2,40015966,2.48,,187,,,,,,,,,,,,,,,,,,,22,2.28,,23.6,,4.6,,8,,490,,,,,,,,,,,,,,,,,,
PL01.0P,7/13/2020,10:13:00 AM,2,40015968,2.21,,221,2,,,,,,,,,,,,,,,,,,11,0.2,,26.9,,10.3,,8.6,,466,,1,,1,,0.01,,60,X,,,,,,,,,
PL01.0P,7/13/2020,10:13:00 AM,2,40015968,2.21,,221,2,,,,,,,,,,,,,,,,,,22,2.01,,25.5,,5.8,,8,,476,,,,,,,,,,,,,,,,,,
PL01.0P,7/30/2020,10:28:00 AM,2,40015970,2.22,,161,,,,,,,,,,,,,,,,,,,11,0.2,,25.8,,10.9,,8.5,,478,,3,,3,,0.02,,60,,,,,,,,,,
PL01.0P,7/30/2020,10:28:00 AM,2,40015970,2.22,,161,,,,,,,,,,,,,,,,,,,22,2.02,,23.4,,1.4,,7.5,,472,,,,,,,,,,,,,,,,,,
PL01.0P,8/13/2020,1:47:00 PM,2,40015972,2.28,,198,,,,,,,,,,,,,,,,,,,11,0.2,,26.3,,10.5,,8.6,,376,,,,,,0.01,,60,X,,,,,,,,,
PL01.0P,8/13/2020,1:47:00 PM,2,40015972,2.28,,198,,,,,,,,,,,,,,,,,,,22,2.08,,22.9,,2.6,,7.7,,402,,,,,,,,,,,,,,,,,,
PL01.0P,8/25/2020,2:11:00 PM,2,40015974,2.52,,186,,,,,,,,,,,,,,,,,,,11,0.2,,28.3,,10.3,,8.6,,397,,2,,2,,0.01,,70,X,,,,,,,,,
PL01.0P,8/25/2020,2:11:00 PM,2,40015974,2.52,,186,,,,,,,,,,,,,,,,,,,22,2.32,,20.8,,0.2,,7.8,,431,,,,,,,,,,,,,,,,,,
PL01.0P,9/10/2020,2:37:00 PM,2,40015976,2.36,,236,2,,,,,,,,,,,,,,,,,,11,0.2,,15.5,,9.7,,8.3,,381,,1,,1,,0.01,,130,X,,,,,,,,,
PL01.0P,9/10/2020,2:37:00 PM,2,40015976,2.36,,236,2,,,,,,,,,,,,,,,,,,22,2.16,,13.9,,9.1,,8.1,,376,,,,,,,,,,,,,,,,,,
PL01.0P,1/12/2021,12:30:00 PM,2,40015979,2.12,,212,2,,,,,,,,,,80,,,,,,,,11,0.2,,0.4,,12.6,,8,,451,,2,,2,,0.01,,60,X,,,,,,,,,
PL01.0P,1/12/2021,12:30:00 PM,2,40015979,2.12,,212,2,,,,,,,,,,80,,,,,,,,22,1.88,,3.3,,2.1,,7.4,,478,,,,,,,,,,,,,,,,,,
PL01.0P,2/25/2021,3:07:00 PM,2,40015982,2.32,,232,2,,48,,48,,100,,9,,100,,,,,,,,11,0.2,,0.4,,12,,7.9,,464,,,,,,0.01,,40,X,,,,,,,,,
PL01.0P,2/25/2021,3:07:00 PM,2,40015982,2.32,,232,2,,48,,48,,100,,9,,100,,,,,,,,22,2.12,,3.4,,1.5,,7.5,,526,,,,,,,,,,,,,,,,,,
PL01.0P,3/9/2021,2:34:00 PM,2,40015985,2.17,,181,,,40,,40,,100,,,5,0,,,,,,,,11,0.2,,3,,13.6,,7.8,,476,,1,,1,,0.01,,70,X,,,,,,,,,
PL01.0P,3/9/2021,2:34:00 PM,2,40015985,2.17,,181,,,40,,40,,100,,,5,0,,,,,,,,22,1.97,,4.5,,17.6,,8.1,,473,,,,,,,,,,,,,,,,,,
PL01.0P,1/12/2022,1:56:00 PM,2,40015995,1.99,,115,,,27,,27,,100,,4,,100,,,,,,,,11,0.2,,0.8,,13,,8.1,,576,,,,,,0.01,,50,X,,,,,,,,,
PL01.0P,1/12/2022,1:56:00 PM,2,40015995,1.99,,115,,,27,,27,,100,,4,,100,,,,,,,,22,1.79,,2.7,,4.8,,7.6,,587,,,,,,,,,,,,,,,,,,
PL01.0P,3/16/2022,9:23:00 AM,2,40015996,2.32,,132,,,45,,45,,100,,,5,0,,,,,,,,11,0.2,,2.9,,13.3,,7.7,,512,,3,,3,,0.01,,60,X,,,,,,,,,
